,id,name,image,league,logo,party_id,seat_id,el_status,vote,center
51,1798,Md. Isfa Khairul Haque,1770826136.jpg,Independent,1704551148.jpg,32,53,,,13
52,1799,Md. Raihan Kawsar,1770826161.jpg,Independent,1704551148.jpg,32,53,,,13
53,1800,Md. Ruhul Amin,1770826187.jpg,Islami Andolon Bangladesh,1769852567.png,37,53,,,13
54,1801,Rezaul Karim,1770826211.jpg,Independent,1704551148.jpg,32,53,,,13
55,1802,Md. Abu Sayeed Chand,1770441403.jpg,Bangladesh Nationalist Party (BNP),1769852771.webp,38,54,,6227,5
56,1805,Md. Nazmul Haque,1770826302.jpg,Bangladesh Jamaat-e-Islami,1769852416.png,36,54,,3393,5
57,1803,Md. Abdus Salam Suruj,1770826262.jpg,Islami Andolon Bangladesh,1769852567.png,37,54,,,5
58,1804,Md. Iqbal Hossain,1770826284.jpg,Jatiya Party (JaPa),1702196200.png,5,54,,,5
59,1007,Md. Abul Kalam Azad,1770821907.jpg,Bangladesh Jamaat-e-Islami,1769852416.png,36,55,,910,1
60,1005,Farzana Sharmin,1770380179.webp,Bangladesh Nationalist Party (BNP),1769852771.webp,38,55,,398,1
61,1006,Md. Ansar Ali,1770821878.jpg,Revolutionary Workers Party of Bangladesh,1769856467.jpg,85,55,,,1
62,1008,Md. Abdullahil Baki,1770821924.jpg,Islami Andolon Bangladesh,1769852567.png,37,55,,,1
63,1009,Md. Taiful Islam Tipu,1770821944.jpg,Independent,1704551148.jpg,32,55,,,1
64,1010,Md. Mehedi Hasan,1770822008.jpg,Gono Odhikar Parishad (GOP),1770210478.jpeg,39,55,,,1
65,1011,Md. Moyazzem Hossain,1770822033.jpg,Independent,1704551148.jpg,32,55,,,1
66,1012,Md. Sahed Ali Jinnah,1770822050.jpg,Jatiya Party (JaPa),1702196200.png,5,55,,,1
67,1013,Md. Sentu Ali,1770822068.jpg,Gonoshonghoti Andolon,1770213041.jpg,90,55,,,1
68,1014,Mohammad Yasir Arshad,1770822093.jpg,Independent,1704551148.jpg,32,55,,,1
69,1015,M. Ruhul Quddus Talukder Dulu,1770822153.jpg,Bangladesh Nationalist Party (BNP),1769852771.webp,38,56,,9982,9
70,1018,Md. Yunus Ali,1770822207.jpg,Bangladesh Jamaat-e-Islami,1769852416.png,36,56,,9034,9
71,1016,Dr. Md. Nurnabi Mridha,1770822170.jpg,Independent,1704551148.jpg,32,56,,,9
72,1017,Tahamida Islam Tania,1770822186.jpg,Gonoshonghoti Andolon,1770213041.jpg,90,56,,,9
73,1019,Md. Rakib Uddin (Komol),1770822242.jpg,Jatiya Party (JaPa),1702196200.png,5,56,,,9
74,1020,Mohammad Ali Siddiqui,1770822268.jpg,Islami Andolon Bangladesh,1769852567.png,37,56,,,9
75,1021,S. M. Zargis Qadir,1770822317.jpg,National Citizen Party (NCP),1770212308.jpg,63,57,,,
76,1022,Md. Anwarul Islam,1770380576.jpg,Bangladesh Nationalist Party (BNP),1769852771.webp,38,57,,,
77,1023,Md. Ashiq Iqbal,1770822358.jpg,Jatiya Party (JaPa),1702196200.png,5,57,,,
78,1024,Md. Khalilur Rahman,1770822378.jpg,Islami Andolon Bangladesh,1769852567.png,37,57,,,
