seat_no,name,vote,party,alliance,seat,district,division,region,voters,male_voters,female_voters,thirdgender_voters,time,vote_pc
291,আলহাজ্ব জসীম উদ্দীন আহমেদ,76493,BNP,BNP,Chittagong-14,Chittagong,Chittagong,Rural,313513.0,165847.0,147665.0,1.0,2026-02-14 14:42:37.115645+00:00,24.4
291,ওমর ফারুক,75467,LDP,Jamaat-NCP,Chittagong-14,Chittagong,Chittagong,Rural,313513.0,165847.0,147665.0,1.0,2026-02-14 14:42:37.115645+00:00,24.07
292,নাজমুল মোস্তফা আমীন,127025,BNP,BNP,Chittagong-15,Chittagong,Chittagong,Rural,506059.0,270915.0,235144.0,0.0,2026-02-14 14:42:37.115645+00:00,25.1
292,শাহজাহান চৌধুরী,172061,Jamaat,Jamaat-NCP,Chittagong-15,Chittagong,Chittagong,Rural,506059.0,270915.0,235144.0,0.0,2026-02-14 14:42:37.115645+00:00,34.0
293,মিশকাতুল ইসলাম চৌধুরী,82237,BNP,BNP,Chittagong-16,Chittagong,Chittagong,Rural,411274.0,219982.0,191287.0,5.0,2026-02-14 14:42:37.115645+00:00,20.0
293,মোহাম্মদ জহিরুল ইসলাম,89960,Jamaat,Jamaat-NCP,Chittagong-16,Chittagong,Chittagong,Rural,411274.0,219982.0,191287.0,5.0,2026-02-14 14:42:37.115645+00:00,21.87
280,মোস্তফা কামাল পাশা,72353,BNP,BNP,Chittagong-3,Chittagong,Chittagong,Rural,260485.0,134720.0,125763.0,2.0,2026-02-14 14:42:37.115645+00:00,27.78
280,মুহাম্মদ আলা উদ্দীন,37153,Jamaat,Jamaat-NCP,Chittagong-3,Chittagong,Chittagong,Rural,260485.0,134720.0,125763.0,2.0,2026-02-14 14:42:37.115645+00:00,14.26
282,মীর মোহাম্মদ হেলাল উদ্দীন,147058,BNP,BNP,Chittagong-5,Chittagong,Chittagong,Rural,501916.0,260903.0,241012.0,1.0,2026-02-14 14:42:37.115645+00:00,29.3
282,মোঃ নাসির উদ্দীন,46589,Bangladesh Khelafat Mojlish,Jamaat-NCP,Chittagong-5,Chittagong,Chittagong,Rural,501916.0,260903.0,241012.0,1.0,2026-02-14 14:42:37.115645+00:00,9.28
283,গিয়াস উদ্দিন কাদের চৌধুরী,112237,BNP,BNP,Chittagong-6,Chittagong,Chittagong,Rural,339988.0,178971.0,161017.0,0.0,2026-02-14 14:42:37.115645+00:00,33.01
283,মোহাম্মদ ইলিয়াছ নূরী,27146,Bangladesh Islami Front,no alliance,Chittagong-6,Chittagong,Chittagong,Rural,339988.0,178971.0,161017.0,0.0,2026-02-14 14:42:37.115645+00:00,7.98
284,হুমাম কাদের চৌধুরী,11445,BNP,BNP,Chittagong-7,Chittagong,Chittagong,Rural,319008.0,167531.0,151476.0,1.0,2026-02-14 14:42:37.115645+00:00,3.59
284,এ টি এম রেজাউল করিম,41719,Jamaat,Jamaat-NCP,Chittagong-7,Chittagong,Chittagong,Rural,319008.0,167531.0,151476.0,1.0,2026-02-14 14:42:37.115645+00:00,13.08
285,এরশাদ উল্লাহ,152969,BNP,BNP,Chittagong-8,Chittagong,Chittagong,Rural,554729.0,282606.0,272122.0,1.0,2026-02-14 14:42:37.115645+00:00,27.58
285,মোঃ আবু নাছের,53564,Jamaat,Jamaat-NCP,Chittagong-8,Chittagong,Chittagong,Rural,554729.0,282606.0,272122.0,1.0,2026-02-14 14:42:37.115645+00:00,9.66
286,মোহাম্মদ আবু সুফিয়ান,109388,BNP,BNP,Chittagong-9,Chittagong,Chittagong,Urban,416363.0,213906.0,202448.0,9.0,2026-02-14 14:42:37.115645+00:00,26.27
286,"ডা, এ কে এম ফজলুল হক",53807,Jamaat,Jamaat-NCP,Chittagong-9,Chittagong,Chittagong,Urban,416363.0,213906.0,202448.0,9.0,2026-02-14 14:42:37.115645+00:00,12.92
79,মোঃ শরীফুজ্জামান,153193,BNP,BNP,Chuadanga-1,Chuadanga,Khulna,Urban,511657.0,254385.0,257265.0,7.0,2026-02-14 14:42:37.115645+00:00,29.94
79,মোঃ মাসুদ পারভেজ,211041,Jamaat,Jamaat-NCP,Chuadanga-1,Chuadanga,Khulna,Urban,511657.0,254385.0,257265.0,7.0,2026-02-14 14:42:37.115645+00:00,41.25
